ID,Text,Sub-task A,Sub-task B
1,wah wah Ghar chod de khana milega bs jine. ke liye ab bta sirf jina h,OAG,GEN
2,teri naaaa ki chut mai mera gora lung 🤣🤣🤣jyega ab 🤣🤣,OAG,GEN
3,chal bhai ko chod,OAG,GEN
4,fuck off,OAG,GEN
5,teri maa ki chut bosdk 🤣🤣🤣🤣,OAG,GEN
6,kutte tmeez se bol or photo dikhana h apna toh dikha phr m b bhjungi,OAG,GEN
7,shit yaar kab band hoga,OAG,GEN
8,per chod ab uske baare me shocna,OAG,GEN
9,Abe dekh teri behn ki chut faat gai 🤣🤣🤣,OAG,GEN
10,"are wa 
          6
           h ki",OAG,GEN
13,hye mere kutte ko kya hua 😕🤔,OAG,GEN
14,To kya hua ki mere ek pagal dost bol diya vo boobs bolna chahta tha uske muh se nikal gayq bhabhi you have nice big juicy bobs👈👈to phir meri gf boli thi ye ka hota hai phir mujhe samjhana pada tha phir vo boli aise bando se dur raha karo boobs bgi na bolna aata😂😂😂😂😂😂😂,OAG,GEN
15,kahi chod di to,OAG,GEN
16,kahi chod di to,OAG,GEN
17,areee chod na bhul za usko zise Teri koi fikr hi na ho,OAG,GEN
18,chalo ra madar chod,OAG,GEN
19,ab kya chod doge mujhe,OAG,GEN
20,yar muje btana rkshu ke bare me usne dn kyu chod diya,OAG,GEN
21,hello kutte,OAG,GEN
22,now fuck off,OAG,GEN
23,ye bta rakhu ne dn chod kyu diya,OAG,GEN
24,choro kutte se baat karne se meri prestige kharap ho jaayega,OAG,GEN
25,😔😔 chod dongi....our kya karo ekeli jike........marna hi sab se hetar hai,OAG,GEN
26,gand deti ho,OAG,GEN
27,sex chat krogi???,OAG,GEN
28,gand,OAG,GEN
29,pr sex chalega,OAG,GEN
30,but agar apne baat kerna chod diya then i will kill you.......,OAG,GEN
31,but agar aapne baat kerna chod diya then i will kill you😑,OAG,GEN
32,kuch nhi chod do gi....... our kya ekeli reh ne baigar marna hi kafi hai.😭😭😭😭😭😭😭😭,OAG,GEN
33,gand,OAG,GEN
34,fuck me,OAG,GEN
35,areeee chod na usko yaar,OAG,GEN
36,Kun sa post chod kar,OAG,GEN
37,please report the all fucker,OAG,GEN
38,mujhe akela chod de😭😭😭,OAG,GEN
39,akela chod de,OAG,GEN
40,Rosne ko kaise sex kroge,OAG,GEN
41,yrr mujhe akela chod de na😭😭😭😭😭,OAG,GEN
42,"😒😒😒ap merese 100000 guna cute ho

1000000000000 guna hai tu",OAG,GEN
43,motherfucker,OAG,GEN
44,d husband huna tera m ladai to hogi KY m chala jayuga tumko chod k,OAG,GEN
45,d yr mu yr man to kar rha h sab kuch chod k AA jayu,OAG,GEN
46,kl rat or aj ka din chod kr Avi reply late nhi Diya,OAG,GEN
47,ok bhosdi ke Samajh Mein Nahin a raha kya tere pit kar manega kya samajh bahan ke land ladkiyon se Ijjat se baat kara kar,OAG,GEN
48,"ashwani mera 1 mint bhi late hotoh ye sb aur khudd ka response 7-8 hours


kb Kiya itta late rat ko chodkr or aj ka din chod kr",OAG,GEN
49,kutte kamine ladkiyon se thoda Tameez mein baat kara kar Banna Aisa sudhar hoo ga batt kr na chod daga ladkiyo sa smjha,OAG,GEN
50,abe kutte uth,OAG,GEN
51,Ap mara ko massag karana online hi phone chod duga,OAG,GEN
52,ja chodvakr aa madarchod,OAG,GEN
53,kutte sale,OAG,GEN
54,"Usa call mat karana ap

Mai chutiya hu usko krungi us batamiz Insaan Ko kon call kre",OAG,GEN
55,7870374891 for sex,OAG,GEN
56,"are ye launda kal aaya tha you me, Maine or mayra ne iski puri Post bhardi thi kal gaaliyo se par ye boht harami hai",OAG,GEN
57,tari gand maru,OAG,GEN
58,Sb chod diya,OAG,GEN
59,Sb chod diya,OAG,GEN
60,chal chutiya,OAG,GEN
61,bhosdike kal kam maa chudi thi kya teri jo aaj fhir aa gaya,OAG,GEN
62,bye kaaali chut ke baal,OAG,GEN
63,10 bjy aunga teri maa ko chod ne,OAG,GEN
64,re madar chod teri maa ki aak pucho apne maa se raat der se q aati he  mere saath tik tok mujara banati he,OAG,GEN
65,Aaj mera online exam chut gya 😞 😞,OAG,GEN
66,Aaj mera online exam chut gya😞😞,OAG,GEN
67,Aabe chutiya ! Explain kaun karega ??,OAG,GEN
68,yr janede na usko chod,OAG,GEN
69,ghar bata mdcd maa bhen ko ghar me guss kat chod denge,OAG,GEN
70,kuch nhi chod,OAG,GEN
71,tu dn chod Raha ha,OAG,GEN
72,randi hai sali,OAG,GEN
73,wtf its learning app but just like u guys always doing shit everywhere plz don't do that don't ask shitty question in this app its request.,OAG,GEN
74,fuck,OAG,GEN
75,tu dn chod Raha ha yarr to ma Kisa fight karungi 😂,OAG,GEN
76,fuck you honey,OAG,GEN
77,"tu dn chod Raha ha yarr 
to ma Kisa fight karungi",OAG,GEN
78,wanna do sex chat??,OAG,GEN
79,abe chutiye delete kr di comment,OAG,GEN
80,"gud wbu 
but tu sachi dn chod Raha",OAG,GEN
81,promise kyu toda aab es baat to chod,OAG,GEN
82,madarchod satyam,OAG,GEN
83,nahe chal chod jannay dayy☺😊,OAG,GEN
84,yrrr vo dn chod raha h,OAG,GEN
85,hum to kutte ki mot mar jate aashiq agar hamare friends wakhat per na aate 😢😢😢😢😭😭😭😭😭😭,OAG,GEN
86,yrrr vo dn chod raha h,OAG,GEN
87,fuck,OAG,GEN
88,god ko thanku ye sb aap ne chod diya,OAG,GEN
89,acha ...acha he ye sb aap ne chod diya,OAG,GEN
90,vishal tu chod usko,OAG,GEN
91,ye le 9306319114 krr sale calll😡😡,OAG,GEN
92,yha phir koi chutiya presan  krega,OAG,GEN
93,are use chod na vishal,OAG,GEN
94,chod de 😔,OAG,GEN
95,oe randi ki aulad fhir aa gaya tu,OAG,GEN
96,chut jesi skl ke,OAG,GEN
97,"chkke sle 


Tu ek kutte ki aulaad h 🤣🤣🤣🤣",OAG,GEN
98,"🤣🤣🤣🤣🤣🤣🤣

teri maaa ko ksy kutte ne choda h 🤣🤣🤣",OAG,GEN
99,lgta h teri tyipng nhi ati kaaali chut ke baaal 🤣🤣🤣,OAG,GEN
100,teri ma ki chut teri ma ko sexho,OAG,GEN
101,ye sex hota hai,OAG,GEN
102,tum apne sare msg delete kr dena sirf supb ko chod ke,OAG,GEN
